-10;763
-9.99;761.441
-9.98;759.883
-9.97;758.327
-9.96;756.773
-9.95;755.22
-9.94;753.669
-9.93;752.119
-9.92;750.571
-9.91;749.025
-9.9;747.48
-9.89;745.937
-9.88;744.395
-9.87;742.855
-9.86;741.317
-9.85;739.78
-9.84;738.245
-9.83;736.711
-9.82;735.179
-9.81;733.649
-9.8;732.12
-9.79;730.593
-9.78;729.067
-9.77;727.543
-9.76;726.021
-9.75;724.5
-9.74;722.981
-9.73;721.463
-9.72;719.947
-9.71;718.433
-9.7;716.92
-9.69;715.409
-9.68;713.899
-9.67;712.391
-9.66;710.885
-9.65;709.38
-9.64;707.877
-9.63;706.375
-9.62;704.875
-9.61;703.377
-9.6;701.88
-9.59;700.385
-9.58;698.891
-9.57;697.399
-9.56;695.909
-9.55;694.42
-9.54;692.933
-9.53;691.447
-9.52;689.963
-9.51;688.481
-9.5;687
-9.49;685.521
-9.48;684.043
-9.47;682.567
-9.46;681.093
-9.45;679.62
-9.44;678.149
-9.43;676.679
-9.42;675.211
-9.41;673.745
-9.4;672.28
-9.39;670.817
-9.38;669.355
-9.37;667.895
-9.36;666.437
-9.35;664.98
-9.34;663.525
-9.33;662.071
-9.32;660.619
-9.31;659.169
-9.3;657.72
-9.29;656.273
-9.28;654.827
-9.27;653.383
-9.26;651.941
-9.25;650.5
-9.24;649.061
-9.23;647.623
-9.22;646.187
-9.21;644.753
-9.2;643.32
-9.19;641.889
-9.18;640.459
-9.17;639.031
-9.16;637.605
-9.15;636.18
-9.14;634.757
-9.13;633.335
-9.12;631.915
-9.11;630.497
-9.1;629.08
-9.09;627.665
-9.08;626.251
-9.07;624.839
-9.06;623.429
-9.05;622.02
-9.04;620.613
-9.03;619.207
-9.02;617.803
-9.01;616.401
-9;615
-8.99;613.601
-8.98;612.203
-8.97;610.807
-8.96;609.413
-8.95;608.02
-8.94;606.629
-8.93;605.239
-8.92;603.851
-8.91;602.465
-8.9;601.08
-8.89;599.697
-8.88;598.315
-8.87;596.935
-8.86;595.557
-8.85;594.18
-8.84;592.805
-8.83;591.431
-8.82;590.059
-8.81;588.689
-8.8;587.32
-8.79;585.953
-8.78;584.587
-8.77;583.223
-8.76;581.861
-8.75;580.5
-8.74;579.141
-8.73;577.783
-8.72;576.427
-8.71;575.073
-8.7;573.72
-8.69;572.369
-8.68;571.019
-8.67;569.671
-8.66;568.325
-8.65;566.98
-8.64;565.637
-8.63;564.295
-8.62;562.955
-8.61;561.617
-8.6;560.28
-8.59;558.945
-8.58;557.611
-8.57;556.279
-8.56;554.949
-8.55;553.62
-8.54;552.293
-8.53;550.967
-8.52;549.643
-8.51;548.321
-8.5;547
-8.49;545.681
-8.48;544.363
-8.47;543.047
-8.46;541.733
-8.45;540.42
-8.44;539.109
-8.43;537.799
-8.42;536.491
-8.41;535.185
-8.4;533.88
-8.39;532.577
-8.38;531.275
-8.37;529.975
-8.36;528.677
-8.35;527.38
-8.34;526.085
-8.33;524.791
-8.32;523.499
-8.31;522.209
-8.3;520.92
-8.29;519.633
-8.28;518.347
-8.27;517.063
-8.26;515.781
-8.25;514.5
-8.24;513.221
-8.23;511.943
-8.22;510.667
-8.21;509.393
-8.2;508.12
-8.19;506.849
-8.18;505.579
-8.17;504.311
-8.16;503.045
-8.15;501.78
-8.14;500.517
-8.13;499.255
-8.12;497.995
-8.11;496.737
-8.1;495.48
-8.09;494.225
-8.08;492.971
-8.07;491.719
-8.06;490.469
-8.05;489.22
-8.04;487.973
-8.03;486.727
