0;0;
0.001;0.0251301;
0.002;0.0502443;
0.003;0.0753268;
0.004;0.100362;
0.005;0.125333;
0.006;0.150226;
0.007;0.175023;
0.008;0.19971;
0.009;0.224271;
0.01;0.24869;
0.011;0.272952;
0.012;0.297042;
0.013;0.320944;
0.014;0.344643;
0.015;0.368125;
0.016;0.391374;
0.017;0.414376;
0.018;0.437116;
0.019;0.45958;
0.02;0.481754;
0.021;0.503623;
0.022;0.525175;
0.023;0.546394;
0.024;0.567269;
0.025;0.587785;
0.026;0.60793;
0.027;0.627691;
0.028;0.647056;
0.029;0.666012;
0.03;0.684547;
0.031;0.70265;
0.032;0.720309;
0.033;0.737513;
0.034;0.754251;
0.035;0.770513;
0.036;0.786288;
0.037;0.801567;
0.038;0.816339;
0.039;0.830596;
0.04;0.844328;
0.041;0.857527;
0.042;0.870184;
0.043;0.882291;
0.044;0.893841;
0.045;0.904827;
0.046;0.915241;
0.047;0.925077;
0.048;0.934329;
0.049;0.942991;
0.05;0.951057;
0.051;0.958522;
0.052;0.965382;
0.053;0.971632;
0.054;0.977268;
0.055;0.982287;
0.056;0.986686;
0.057;0.990461;
0.058;0.993611;
0.059;0.996134;
0.06;0.998027;
0.061;0.999289;
0.062;0.999921;
0.063;0.999921;
0.064;0.999289;
0.065;0.998027;
0.066;0.996134;
0.067;0.993611;
0.068;0.990461;
0.069;0.986686;
0.07;0.982287;
0.071;0.977268;
0.072;0.971632;
0.073;0.965382;
0.074;0.958522;
0.075;0.951056;
0.076;0.94299;
0.077;0.934329;
0.078;0.925077;
0.079;0.915241;
0.08;0.904827;
0.081;0.893841;
0.082;0.882291;
0.083;0.870184;
0.084;0.857527;
0.085;0.844328;
0.086;0.830596;
0.087;0.816339;
0.088;0.801567;
0.089;0.786288;
0.09;0.770513;
0.091;0.754251;
0.092;0.737513;
0.093;0.720309;
0.094;0.70265;
0.095;0.684547;
0.096;0.666012;
0.097;0.647056;
0.098;0.627691;
0.099;0.60793;
0.1;0.587785;
0.101;0.567269;
0.102;0.546394;
0.103;0.525174;
0.104;0.503623;
0.105;0.481754;
0.106;0.45958;
0.107;0.437116;
0.108;0.414376;
0.109;0.391374;
0.11;0.368124;
0.111;0.344643;
0.112;0.320944;
0.113;0.297041;
0.114;0.272952;
0.115;0.24869;
0.116;0.224271;
0.117;0.19971;
0.118;0.175023;
0.119;0.150226;
0.12;0.125333;
0.121;0.100362;
0.122;0.0753266;
0.123;0.0502442;
0.124;0.02513;
0.125;1.22465e-16;
0.126;-0.0251301;
0.127;-0.0502444;
0.128;-0.075327;
0.129;-0.100362;
0.13;-0.125333;
0.131;-0.150226;
0.132;-0.175023;
0.133;-0.19971;
0.134;-0.224271;
0.135;-0.24869;
0.136;-0.272952;
0.137;-0.297042;
0.138;-0.320944;
0.139;-0.344643;
0.14;-0.368125;
0.141;-0.391374;
0.142;-0.414376;
0.143;-0.437116;
0.144;-0.45958;
0.145;-0.481754;
0.146;-0.503623;
0.147;-0.525175;
0.148;-0.546394;
0.149;-0.567269;
0.15;-0.587785;
0.151;-0.60793;
0.152;-0.627692;
0.153;-0.647056;
0.154;-0.666012;
0.155;-0.684547;
0.156;-0.70265;
0.157;-0.720309;
0.158;-0.737513;
0.159;-0.754252;
0.16;-0.770513;
0.161;-0.786289;
0.162;-0.801567;
0.163;-0.816339;
0.164;-0.830596;
0.165;-0.844328;
0.166;-0.857527;
0.167;-0.870184;
0.168;-0.882291;
0.169;-0.893842;
0.17;-0.904827;
0.171;-0.915241;
0.172;-0.925077;
0.173;-0.934329;
0.174;-0.942991;
0.175;-0.951057;
0.176;-0.958522;
0.177;-0.965382;
0.178;-0.971632;
0.179;-0.977268;
0.18;-0.982287;
0.181;-0.986686;
0.182;-0.990461;
0.183;-0.993611;
0.184;-0.996134;
0.185;-0.998027;
0.186;-0.999289;
0.187;-0.999921;
0.188;-0.999921;
0.189;-0.999289;
0.19;-0.998027;
0.191;-0.996134;
0.192;-0.993611;
0.193;-0.990461;
0.194;-0.986686;
0.195;-0.982287;
0.196;-0.977268;
0.197;-0.971632;
0.198;-0.965382;
0.199;-0.958522;
0.2;-0.951056;
0.201;-0.94299;
0.202;-0.934329;
0.203;-0.925077;
0.204;-0.915241;
0.205;-0.904827;
0.206;-0.893841;
0.207;-0.882291;
0.208;-0.870184;
0.209;-0.857527;
0.21;-0.844328;
0.211;-0.830596;
0.212;-0.816339;
0.213;-0.801567;
0.214;-0.786288;
0.215;-0.770513;
0.216;-0.754251;
0.217;-0.737513;
0.218;-0.720309;
0.219;-0.70265;
0.22;-0.684547;
0.221;-0.666012;
0.222;-0.647056;
0.223;-0.627691;
0.224;-0.60793;
0.225;-0.587785;
0.226;-0.567269;
0.227;-0.546394;
0.228;-0.525174;
0.229;-0.503623;
0.23;-0.481754;
0.231;-0.45958;
0.232;-0.437116;
0.233;-0.414375;
0.234;-0.391373;
0.235;-0.368124;
0.236;-0.344643;
0.237;-0.320943;
0.238;-0.297041;
0.239;-0.272952;
0.24;-0.24869;
0.241;-0.22427;
0.242;-0.19971;
0.243;-0.175023;
0.244;-0.150225;
0.245;-0.125333;
0.246;-0.100362;
0.247;-0.0753266;
0.248;-0.050244;
0.249;-0.0251298;
0.25;-2.44929e-16;
0.251;0.0251305;
0.252;0.0502444;
0.253;0.0753273;
0.254;0.100362;
0.255;0.125334;
0.256;0.150226;
0.257;0.175023;
0.258;0.19971;
0.259;0.224271;
0.26;0.24869;
0.261;0.272952;
0.262;0.297042;
0.263;0.320944;
0.264;0.344643;
0.265;0.368125;
