0;7.64274e-15;
0.0025;0.0954915;
0.005;0.345492;
0.0075;0.654509;
0.01;0.904509;
0.0125;1;
0.015;0.904508;
0.0175;0.654508;
0.02;0.345491;
0.0225;0.0954915;
0.025;9.96618e-15;
0.0275;0.0954915;
0.03;0.345491;
0.0325;0.654508;
0.035;0.904509;
0.0375;1;
0.04;0.904509;
0.0425;0.654508;
0.045;0.345492;
0.0475;0.0954915;
0.05;8.24174e-14;
0.0525;0.0954914;
0.055;0.345492;
0.0575;0.654508;
0.06;0.904508;
0.0625;1;
0.065;0.904509;
0.0675;0.654509;
0.07;0.345491;
0.0725;0.0954916;
0.075;2.24996e-13;
0.0775;0.0954916;
0.08;0.345491;
0.0825;0.654508;
0.085;0.904509;
0.0875;1;
0.09;0.904509;
0.0925;0.654508;
0.095;0.345492;
0.0975;0.0954917;
0.1;4.37703e-13;
0.1025;0.0954915;
0.105;0.345491;
0.1075;0.654508;
0.11;0.904509;
0.1125;1;
0.115;0.904509;
0.1175;0.654508;
0.12;0.345492;
0.1225;0.0954918;
0.125;7.64274e-15;
0.1275;0.0954914;
0.13;0.345491;
0.1325;0.654508;
0.135;0.904508;
0.1375;1;
0.14;0.904508;
0.1425;0.654509;
0.145;0.345492;
0.1475;0.0954919;
0.15;1.0735e-12;
0.1525;0.0954918;
0.155;0.345492;
0.1575;0.654508;
0.16;0.904508;
0.1625;1;
0.165;0.904509;
0.1675;0.65451;
0.17;0.345491;
0.1725;0.0954915;
0.175;8.24174e-14;
0.1775;0.0954912;
0.18;0.345491;
0.1825;0.654507;
0.185;0.904509;
0.1875;1;
0.19;0.904509;
0.1925;0.654509;
0.195;0.345492;
0.1975;0.0954922;
0.2;-2.11313e-12;
0.2025;-0.0954916;
0.205;-0.345491;
0.2075;-0.654508;
0.21;-0.904508;
0.2125;-1;
0.215;-0.904509;
0.2175;-0.654508;
0.22;-0.345492;
0.2225;-0.0954917;
0.225;-4.95541e-13;
0.2275;-0.0954909;
0.23;-0.34549;
0.2325;-0.654509;
0.235;-0.904508;
0.2375;-1;
0.24;-0.904509;
0.2425;-0.654509;
0.245;-0.345493;
0.2475;-0.0954924;
0.25;1.07062e-22;
0.2525;-0.0954913;
0.255;-0.345491;
0.2575;-0.654508;
0.26;-0.904508;
0.2625;-1;
0.265;-0.904509;
0.2675;-0.65451;
0.27;-0.345494;
0.2725;-0.0954909;
0.275;-6.26503e-13;
0.2775;-0.0954918;
0.28;-0.345492;
0.2825;-0.654508;
0.285;-0.904508;
0.2875;-1;
0.29;-0.904509;
0.2925;-0.65451;
0.295;-0.345493;
0.2975;-0.0954926;
0.3;4.66396e-12;
0.3025;0.0954901;
0.305;0.345492;
0.3075;0.654509;
0.31;0.904509;
0.3125;1;
0.315;0.904509;
0.3175;0.654509;
0.32;0.345492;
0.3225;0.0954922;
